                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2612,                0.32459,                0.66995,                 3.6618,             0.00023693,             0.00023693,             0.00023693
                      2,                 2.0265,                0.51038,                0.85355,                 3.4698,             0.00047023,             0.00047023,             0.00047023
                      3,                 1.4327,                0.59344,                0.88306,                 3.3167,             0.00069882,             0.00069882,             0.00069882
                      4,                 1.1112,                0.69508,                0.92678,                 3.2557,             0.00069279,             0.00069279,             0.00069279
                      5,                0.91568,                0.71803,                0.93989,                 3.1937,             0.00068573,             0.00068573,             0.00068573
                      6,                0.77048,                0.76831,                0.94863,                 3.1393,             0.00067866,             0.00067866,             0.00067866
                      7,                0.66945,                0.77705,                0.95519,                 3.1357,             0.00067159,             0.00067159,             0.00067159
                      8,                0.61459,                0.79016,                0.95847,                 3.0999,             0.00066452,             0.00066452,             0.00066452
                      9,                0.52247,                0.80109,                 0.9694,                 3.0735,             0.00065745,             0.00065745,             0.00065745
                     10,                0.47468,                0.82623,                0.97596,                 3.0552,             0.00065038,             0.00065038,             0.00065038
                     11,                0.42742,                0.85902,                0.97705,                 3.0193,             0.00064331,             0.00064331,             0.00064331
                     12,                0.38629,                0.83825,                0.97705,                 3.0321,             0.00063625,             0.00063625,             0.00063625
                     13,                0.37759,                0.85355,                0.98361,                 3.0114,             0.00062918,             0.00062918,             0.00062918
                     14,                0.32537,                0.85464,                0.98251,                 3.0088,             0.00062211,             0.00062211,             0.00062211
                     15,                 0.3236,                0.84481,                0.97814,                 3.0156,             0.00061504,             0.00061504,             0.00061504
                     16,                0.29235,                0.83934,                0.97596,                 3.0129,             0.00060797,             0.00060797,             0.00060797
                     17,                 0.2974,                0.86995,                0.97923,                 2.9935,              0.0006009,              0.0006009,              0.0006009
                     18,                 0.2555,                0.85902,                0.98142,                 2.9912,             0.00059383,             0.00059383,             0.00059383
                     19,                0.24256,                 0.8765,                0.97814,                  2.979,             0.00058677,             0.00058677,             0.00058677
                     20,                0.23486,                0.87978,                 0.9847,                 2.9704,              0.0005797,              0.0005797,              0.0005797
                     21,                0.22352,                0.88197,                0.97923,                 2.9673,             0.00057263,             0.00057263,             0.00057263
                     22,                 0.2083,                0.88852,                0.98033,                 2.9657,             0.00056556,             0.00056556,             0.00056556
                     23,                0.21769,                0.86448,                0.97596,                 2.9739,             0.00055849,             0.00055849,             0.00055849
                     24,                0.19289,                0.89508,                0.98251,                 2.9534,             0.00055142,             0.00055142,             0.00055142
                     25,                0.19378,                0.87432,                 0.9847,                  2.976,             0.00054435,             0.00054435,             0.00054435
                     26,                0.18137,                0.88525,                0.98142,                 2.9631,             0.00053728,             0.00053728,             0.00053728
                     27,                0.17684,                0.88634,                0.97814,                 2.9545,             0.00053022,             0.00053022,             0.00053022
                     28,                0.17869,                 0.8776,                0.98251,                 2.9654,             0.00052315,             0.00052315,             0.00052315
                     29,                0.18139,                0.88525,                0.97923,                 2.9547,             0.00051608,             0.00051608,             0.00051608
                     30,                0.17441,                 0.8929,                0.98142,                 2.9489,             0.00050901,             0.00050901,             0.00050901
                     31,                0.15035,                0.88525,                0.97923,                 2.9541,             0.00050194,             0.00050194,             0.00050194
                     32,                0.14859,                0.88852,                0.98251,                 2.9547,             0.00049487,             0.00049487,             0.00049487
                     33,                0.15235,                0.89399,                0.98142,                  2.947,              0.0004878,              0.0004878,              0.0004878
                     34,                0.14828,                0.88852,                0.98033,                 2.9574,             0.00048074,             0.00048074,             0.00048074
                     35,                0.12714,                0.90164,                0.98579,                  2.939,             0.00047367,             0.00047367,             0.00047367
                     36,                0.13886,                 0.9082,                0.98689,                 2.9337,              0.0004666,              0.0004666,              0.0004666
                     37,                0.12972,                 0.8918,                0.98033,                 2.9481,             0.00045953,             0.00045953,             0.00045953
                     38,                0.15572,                0.89945,                0.98142,                 2.9415,             0.00045246,             0.00045246,             0.00045246
                     39,                0.12757,                0.89071,                0.97923,                 2.9548,             0.00044539,             0.00044539,             0.00044539
                     40,                0.12241,                0.89727,                0.97814,                 2.9401,             0.00043832,             0.00043832,             0.00043832
                     41,                0.13317,                0.89399,                0.97923,                 2.9435,             0.00043126,             0.00043126,             0.00043126
                     42,                0.12357,                0.88962,                0.98033,                 2.9461,             0.00042419,             0.00042419,             0.00042419
                     43,                0.12742,                0.89945,                0.97705,                 2.9408,             0.00041712,             0.00041712,             0.00041712
                     44,                0.11624,                0.90055,                0.97814,                 2.9409,             0.00041005,             0.00041005,             0.00041005
                     45,                0.11556,                 0.8929,                0.98033,                 2.9442,             0.00040298,             0.00040298,             0.00040298
                     46,                 0.1118,                0.88962,                0.97814,                 2.9432,             0.00039591,             0.00039591,             0.00039591
                     47,                0.09379,                0.90929,                0.98361,                 2.9293,             0.00038884,             0.00038884,             0.00038884
                     48,                0.09107,                0.90055,                0.98033,                 2.9335,             0.00038178,             0.00038178,             0.00038178
                     49,                0.11294,                0.89727,                0.98142,                  2.937,             0.00037471,             0.00037471,             0.00037471
                     50,                0.10035,                0.90492,                0.97923,                 2.9324,             0.00036764,             0.00036764,             0.00036764
                     51,                0.11241,                0.90383,                0.98142,                  2.935,             0.00036057,             0.00036057,             0.00036057
                     52,                0.08865,                0.90383,                0.98033,                 2.9302,              0.0003535,              0.0003535,              0.0003535
                     53,                0.08772,                0.91148,                0.98033,                 2.9259,             0.00034643,             0.00034643,             0.00034643
                     54,                0.08301,                0.91038,                0.97596,                 2.9306,             0.00033936,             0.00033936,             0.00033936
                     55,                 0.0908,                0.90929,                0.97596,                 2.9289,              0.0003323,              0.0003323,              0.0003323
                     56,                0.08954,                0.91148,                0.98033,                 2.9245,             0.00032523,             0.00032523,             0.00032523
                     57,                0.07227,                0.90929,                0.97923,                   2.93,             0.00031816,             0.00031816,             0.00031816
                     58,                0.08104,                0.89617,                0.97705,                 2.9343,             0.00031109,             0.00031109,             0.00031109
                     59,                0.07896,                0.91366,                0.98033,                 2.9192,             0.00030402,             0.00030402,             0.00030402
                     60,                0.08687,                0.91257,                0.98579,                 2.9197,             0.00029695,             0.00029695,             0.00029695
                     61,                0.08497,                0.91257,                0.98689,                 2.9228,             0.00028988,             0.00028988,             0.00028988
                     62,                0.08045,                0.91913,                0.98579,                 2.9219,             0.00028282,             0.00028282,             0.00028282
                     63,                0.08789,                0.90273,                 0.9847,                 2.9276,             0.00027575,             0.00027575,             0.00027575
                     64,                0.09244,                0.91475,                0.98142,                 2.9203,             0.00026868,             0.00026868,             0.00026868
                     65,                0.08174,                 0.9071,                 0.9847,                 2.9219,             0.00026161,             0.00026161,             0.00026161
                     66,                0.07873,                0.91475,                0.98033,                 2.9192,             0.00025454,             0.00025454,             0.00025454
                     67,                0.06486,                 0.9071,                0.98033,                 2.9204,             0.00024747,             0.00024747,             0.00024747
                     68,                0.06976,                0.91038,                0.98033,                 2.9235,              0.0002404,              0.0002404,              0.0002404
                     69,                0.07795,                0.91913,                0.98033,                 2.9162,             0.00023334,             0.00023334,             0.00023334
                     70,                0.06819,                0.91257,                0.97705,                 2.9187,             0.00022627,             0.00022627,             0.00022627
                     71,                0.06921,                0.91803,                0.97705,                 2.9188,              0.0002192,              0.0002192,              0.0002192
                     72,                0.06783,                0.91694,                0.97705,                 2.9146,             0.00021213,             0.00021213,             0.00021213
                     73,                 0.0681,                0.92131,                0.98251,                 2.9163,             0.00020506,             0.00020506,             0.00020506
                     74,                0.06519,                 0.9224,                0.98361,                 2.9165,             0.00019799,             0.00019799,             0.00019799
